1	1	-1
1.2	1	-1
0.3	0.3	-1
50	50	-1
1.387	0.954	-1
1	1	-0.9
1.2	1	-0.9
0.3	0.3	-0.9
50	50	-0.9
1.387	0.954	-0.9
1	1	-0.8
1.2	1	-0.8
0.3	0.3	-0.8
50	50	-0.8
1.387	0.954	-0.8
1	1	-0.7
1.2	1	-0.7
0.3	0.3	-0.7
50	50	-0.7
1.387	0.954	-0.7
1	1	-0.6
1.2	1	-0.6
0.3	0.3	-0.6
50	50	-0.6
1.387	0.954	-0.6
1	1	-0.5
1.2	1	-0.5
0.3	0.3	-0.5
50	50	-0.5
1.387	0.954	-0.5
1	1	-0.4
1.2	1	-0.4
0.3	0.3	-0.4
50	50	-0.4
1.387	0.954	-0.4
1	1	-0.3
1.2	1	-0.3
0.3	0.3	-0.3
50	50	-0.3
1.387	0.954	-0.3
1	1	-0.2
1.2	1	-0.2
0.3	0.3	-0.2
50	50	-0.2
1.387	0.954	-0.2
1	1	-0.1
1.2	1	-0.1
0.3	0.3	-0.1
50	50	-0.1
1.387	0.954	-0.1
1	1	0
1.2	1	0
0.3	0.3	0
50	50	0
1.387	0.954	0
1	1	0.1
1.2	1	0.1
0.3	0.3	0.1
50	50	0.1
1.387	0.954	0.1
1	1	0.2
1.2	1	0.2
0.3	0.3	0.2
50	50	0.2
1.387	0.954	0.2
1	1	0.3
1.2	1	0.3
0.3	0.3	0.3
50	50	0.3
1.387	0.954	0.3
1	1	0.4
1.2	1	0.4
0.3	0.3	0.4
50	50	0.4
1.387	0.954	0.4
1	1	0.5
1.2	1	0.5
0.3	0.3	0.5
50	50	0.5
1.387	0.954	0.5
1	1	0.6
1.2	1	0.6
0.3	0.3	0.6
50	50	0.6
1.387	0.954	0.6
1	1	0.7
1.2	1	0.7
0.3	0.3	0.7
50	50	0.7
1.387	0.954	0.7
1	1	0.8
1.2	1	0.8
0.3	0.3	0.8
50	50	0.8
1.387	0.954	0.8
1	1	0.9
1.2	1	0.9
0.3	0.3	0.9
50	50	0.9
1.387	0.954	0.9
1	1	1
1.2	1	1
0.3	0.3	1
50	50	1
1.387	0.954	1
